 SSIMWave's Video Quality-of-Experience Monitor with a CLI for Windows (SQM-CLI-Win), Version 1.5.31.383

Reference video, F:\Kai\SQM\AutoTestingFramework\Win32\TestData\12-BugFix\Comcast\DWTS1_1080i_60.ts,PID, N/A
Test video, F:\Kai\SQM\AutoTestingFramework\Win32\TestData\12-BugFix\Comcast\AT3790_DWTS1_C1_LVLH05.ts,PID, 1

Report Date, 30-Jan, Report Time, 12:14:42
Test Video's Bit-rate, 2165 kbps, Reference Video's Bit-rate, 22222 kbps
Test Video's Resolution, 768x432, Reference Video's Resolution, 1920x1080
Test Video's Framerate, 29.97, Reference Video's Framerate, 29.97
Number of frames processed, 10

SSIMplus QoE Scores Summary
Statistic,Source_Quality,SSIMplusCore_PF,SSIMplusCore_AQ,iPhone 6 Plus_PF,iPhone 6 Plus_AQ,iPad Air 2_PF,iPad Air 2_AQ,VT60_PF,VT60_AQ,ThinkPad W540_PF,ThinkPad W540_AQ,Macbook Pro_PF,Macbook Pro_AQ
Maximum,98,98,95,87,86,78,76,79,77,71,70,76,75
Minimum,97,96,94,86,85,77,75,78,76,70,69,75,74
Mean,97.1,96.5,94.2,86.5,85.1,77.1,75.5,78.1,76.8,70.1,69.1,75.5,74.3
Standard Deviation,0.1,0.7071,0.4216,0.527,0.3162,0.3162,0.527,0.3162,0.4216,0.3162,0.3162,0.527,0.483
Excellent (81-100),100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%
Good (61-80),0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%
Fair (41-60),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Poor (21-40),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Bad (0-20),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Below threshold (0-70),0%,0%,0%,0%,0%,0%,0%,0%,0%,90%,100%,0%,0%
Reference Video Temporal Alignment Offset (frames),1
Test Video Temporal Alignment Offset (frames),0

  SSIMplus QoE Scores 
Reference frame index, Test frame index, Source_Quality,SSIMplusCore_PF,SSIMplusCore_AQ,iPhone 6 Plus_PF,iPhone 6 Plus_AQ,iPad Air 2_PF,iPad Air 2_AQ,VT60_PF,VT60_AQ,ThinkPad W540_PF,ThinkPad W540_AQ,Macbook Pro_PF,Macbook Pro_AQ,
2,1,97,98,95,87,86,78,76,79,77,71,70,76,75
3,2,97,97,95,87,85,77,76,78,77,70,69,76,75
4,3,97,97,94,87,85,77,76,78,77,70,69,76,75
5,4,97,97,94,87,85,77,76,78,77,70,69,76,74
6,5,97,96,94,87,85,77,76,78,77,70,69,76,74
7,6,97,96,94,86,85,77,75,78,77,70,69,75,74
8,7,97,96,94,86,85,77,75,78,76,70,69,75,74
9,8,97,96,94,86,85,77,75,78,76,70,69,75,74
10,9,97,96,94,86,85,77,75,78,77,70,69,75,74
11,10,98,96,94,86,85,77,75,78,77,70,69,75,74
